id,question_type,question,answer
588,research,what research (or clinical trials) is being done for Neuroaxonal dystrophy ?,"Researchers continue to search for the defective gene that causes INAD in hopes of developing drugs that can stop the disease. The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to INAD in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders such as INAD."
394,research,what research (or clinical trials) is being done for Bell's Palsy ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge of the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports an extensive research program of basic science to increase understanding of how the nervous system works and circumstances that lead to nerve damage. Knowledge gained from this research may help scientists find the definitive cause of Bell's palsy, leading to the discovery of new effective treatments for the disorder. Other NINDS-supported research is aimed at developing methods to repair damaged nerves and restore full use and strength to injured areas, and finding ways to prevent nerve damage and injuries from occurring."
508,research,what research (or clinical trials) is being done for Holoprosencephaly ?,"The NINDS supports and conducts a wide range of studies that focus on identifying and learning more about the factors involved in normal brain development. Recent research has identified specific genes that cause holoprosencephaly. The knowledge gained from these fundamental studies provides the foundation for understanding how to develop new ways to treat, and potentially prevent, this disorder."
410,research,what research (or clinical trials) is being done for Cerebellar Degeneration ?,"The NINDS funds research to find the genes involved in diseases that cause cerebellar degeneration. Discovering these genes, identifying their mutations, and understanding how the abnormal proteins they produce cause cerebellar degeneration may eventually help scientists find ways to prevent, treat, and even cure the diseases that involve cerebellar degeneration."
510,research,what research (or clinical trials) is being done for Hydranencephaly ?,"The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and, thus, offers hope for new means to treat and prevent developmental brain disorders, including hydranencephaly."
633,research,what research (or clinical trials) is being done for Pinched Nerve ?,"Within the NINDS research programs, pinched nerves are addressed primarily through studies associated with pain research. NINDS vigorously pursues a research program seeking new treatments for pain and nerve damage with the ultimate goal of reversing debilitating conditions such as pinched nerves."
355,research,what research (or clinical trials) is being done for Absence of the Septum Pellucidum ?,The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system ad to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and offers hope for new means to treat and prevent developmental brain disorders.
586,research,what research (or clinical trials) is being done for National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"Although CJD is a rare disorder, some of the world's leading researchers are working hard to learn more about this disease.
                
About 10 percent of the people who get CJD have the inherited type. Some people have gotten CJD from medical procedures such as pituitary hGH injections, tissue grafts, or corneal transplants. Scientists don't fully understand what causes CJD. Evidence suggests that a unique infectious agent called a prion [PREE-on] may be the cause. A prion is an unusual infectious agent because it contains no genetic material. It is a protein that takes on different forms. In its normal, harmless form, the protein is curled into a spiral. In its infectious form, the protein folds into an abnormal shape. Somehow, these abnormal proteins change the shape of normal proteins. This change begins a serious chain reaction that results in brain problems.
                
People with inherited CJD have an abnormal gene that leads to changes in their prion protein. This gene makes the protein likely to assume the abnormal shape. Exposure to the abnormal form of the protein can also occur through injection of contaminated pituitary hGH, tissue grafts, and corneal transplants and through exposures to infected brain tissue.
                
If CJD results from a defect in protein folding, it may be possible to identify drugs that can help the prion protein assume its proper shape. Such drugs would slow or stop the progress of the disease. Treatments like these are being studied by researchers. Researchers in both Europe and the United States are also trying to develop a test that will identify CJD before symptoms appear.
                
More information and medical journal articles about CJD and growth hormone therapy can be found on the National Endocrine and Metabolic Diseases Information Service web page Human Growth Hormone and Creutzfeldt-Jakob Disease Resource List."
688,research,what research (or clinical trials) is being done for Syringomyelia ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. NINDS investigators are studying how syrinxes first form, as well as the mechanisms of the disorders. NINDS investigators have found that the normal flow of cerebrospinal fluid that occurs with each heartbeat is obstructed in people with syringomyelia. Surgical procedures that relieve this obstruction usually result in the syrinx becoming much smaller in size. Studies are also underway to identify and better understand genetic factors that influence the development of Chiari I malformations and syringomyelia. Researchers hope to better understand the role of birth defects of the skull and brain in the development of hindbrain malformations that can lead to syringomyelia. Diagnostic technology is another area for continued research. 
                
NINDS scientists are examining individuals who either have syringomyelia or are at risk of developing the disorder. They are investigating the factors that influence its development, progression, and treatment by recording more than 5 years of symptoms, muscle strength, overall function, and magnetic resonance imaging (MRI) scan findings from individuals who receive standard treatment for syringomyelia. Study results may allow scientists to provide more accurate recommendations to future individuals with syringomyelia regarding optimal surgical or non-surgical treatments."
456,research,what research (or clinical trials) is being done for Dementia ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to dementia in laboratories at the NIH and also support additional dementia research through grants to major medical institutions across the country. Current research focuses on many different aspects of dementia. This research promises to improve the lives of people affected by the dementias and may eventually lead to ways of preventing or curing these disorders.
364,research,what research (or clinical trials) is being done for Adult Soft Tissue Sarcoma ?,"Patients may want to think about taking part in a clinical trial.
				                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
				                
				                
				                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
				                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
535,research,what research (or clinical trials) is being done for Kuru ?,"The NINDS funds research to better understand the genetic, molecular, and cellular mechanisms that underlie the TSE diseases. Findings from this research will lead to ways to diagnose, treat, prevent, and ultimately cure these diseases."
427,research,what research (or clinical trials) is being done for Childhood Central Nervous System Germ Cell Tumors ?,"Check the list of NCI-supported cancer clinical trials that are now accepting patients with childhood central nervous system germ cell tumor. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.
            					
                    New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.    Clinical trials are taking place in many parts of the country. See the Current Clinical Trials section that follows for links to current treatment clinical trials. These have been retrieved from the NCI's listing of clinical trials."
592,research,what research (or clinical trials) is being done for Neuroleptic Malignant Syndrome ?,The NINDS supports research on neurological disorders such as neuroleptic malignant syndrome. Much of this research focuses on finding ways to prevent and treat the disorder.
610,research,what research (or clinical trials) is being done for Orthostatic Hypotension ?,The NINDS supports research on conditions such as neurogenic orthostatic hypotension aimed at increasing scientific understanding of the condition and finding ways to treat and prevent it.
492,research,what research (or clinical trials) is being done for Generalized Gangliosidoses ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS is a part of the National Institutes of Health (NIH), the largest supporter of biomedical research in the world. Scientists are studying the mechanisms by which the lipids accumulating in these disorders cause harm to the body. NINDS-funded research on the gangliosidoses also includes using variations of magnetic resonance imaging to develop a biomarker (a sign that may indicate risk of a disease and improve diagnosis) to effectively evaluate brain chemistry and disease progression, and expanding the use of virus-delivered gene therapy seen in an animal model of Tay-Sachs and Sandhoff diseases for use in humans."
580,research,what research (or clinical trials) is being done for Myoclonus ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research relating to myoclonus in its laboratories at the National Institutes of Health (NIH) and also supports additional research through grants to major medical institutions across the country. Scientists are seeking to understand the underlying biochemical basis of involuntary movements and to find the most effective treatment for myoclonus and other movement disorders. Researchers may be able to develop drug treatments that target specific biochemical changes involved in myoclonus. By combining several of these drugs, scientists hope to achieve greater control of myoclonic symptoms."
549,research,what research (or clinical trials) is being done for Liver (Hepatocellular) Cancer ?,"Cancer prevention clinical trials are used to study ways to prevent cancer.
                    Cancer prevention clinical trials are used to study ways to lower the risk of developing certain types of cancer. Some cancer prevention trials are conducted with healthy people who have not had cancer but who have an increased risk for cancer. Other prevention trials are conducted with people who have had cancer and are trying to prevent another cancer of the same type or to lower their chance of developing a new type of cancer. Other trials are done with healthy volunteers who are not known to have any risk factors for cancer.    The purpose of some cancer prevention clinical trials is to find out whether actions people take can prevent cancer. These may include eating fruits and vegetables, exercising, quitting smoking, or taking certain medicines, vitamins, minerals, or food supplements.
                
                
                    New ways to prevent liver cancer are being studied in clinical trials.
                    Clinical trials are taking place in many parts of the country. Information about clinical trials can be found in the Clinical Trials section of the NCI website. Check NCI's list of cancer clinical trials for liver cancer prevention trials that are now accepting patients."
548,research,what research (or clinical trials) is being done for Lissencephaly ?,"The NINDS conducts and supports a wide range of studies that explore the complex systems of normal brain development, including neuronal migration. Recent studies have identified genes that are responsible for lissencephaly. The knowledge gained from these studies provides the foundation for developing treatments and preventive measures for neuronal migration disorders."
720,research,what research (or clinical trials) is being done for Wilms Tumor and Other Childhood Kidney Tumors ?,"New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.     Targeted therapy     Targeted therapy is a treatment that uses drugs or other substances to identify and attack specific cancer cells without harming normal cells. Targeted therapy used to treat childhood kidney tumors may include the following:            -  Monoclonal antibodies: This targeted therapy uses antibodies made in the laboratory, from a single type of immune system cell. These antibodies can identify substances on cancer cells or normal substances that may help cancer cells grow. The antibodies attach to the substances and kill the cancer cells, block their growth, or keep them from spreading. Monoclonal antibodies are given by infusion. They may be used alone or to carry drugs, toxins, or radioactive material directly to cancer cells. Lorvotuzumab is being studied in the treatment of recurrent Wilms tumor.     -  Kinase inhibitors: This targeted therapy blocks signals that cancer cells need to grow and divide. LOXO-101 and entrectinib are kinase inhibitors being studied to treat congenital mesoblastic nephroma.     -  Histone methyltransferase inhibitors: This targeted therapy slows down the cancer cell's ability to grow and divide. Tazemetostat is being studied in the treatment of rhabdoid tumor of the kidney.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
380,research,what research (or clinical trials) is being done for Apraxia ?,"The NINDS supports research on movement disorders and conditions such as apraxia. The goals of this research are to increase scientific understanding of these disorders, and to find ways to prevent, treat, and cure them."
463,research,what research (or clinical trials) is being done for Dravet Syndrome ?,"The NINDS conducts and supports a broad program of basic and clinical research on all types of epilepsy, including Dravet syndrome. Study of the genetic defects responsible for Dravet syndrome and related disorders is expected to lead to the development of effective drug therapies."
397,research,what research (or clinical trials) is being done for Binswanger's Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to BD in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure neurological disorders, such as BD."
711,research,what research (or clinical trials) is being done for Uterine Sarcoma ?,"New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
643,research,what research (or clinical trials) is being done for Primary Lateral Sclerosis ?,"The NINDS conducts a broad range of research on neuromuscular disorders such as PLS. This research is aimed at developing techniques to diagnose, treat, prevent, and ultimately cure these devastating diseases."
469,research,what research (or clinical trials) is being done for Empty Sella Syndrome ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system, and to use that knowledge to reduce the burden of neurological disease. The NINDS supports and conducts fundamental studies that explore the complex mechanisms of normal brain development and to better understand neurological conditions such as ESS. The knowledge gained from these fundamental studies helps researchers understand neurodevelopment and provides opportunities to more effectively treat and perhaps even prevent, such disorders."
418,research,what research (or clinical trials) is being done for Charcot-Marie-Tooth Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts CMT research in its laboratories at the National Institutes of Health (NIH) and also supports CMT research through grants to major medical institutions across the country. Ongoing research includes efforts to identify more of the mutant genes and proteins that cause the various disease subtypes. This research includes studies in the laboratory to discover the mechanisms of nerve degeneration and muscle atrophy, and clinical studies to find therapies to slow down or even reverse nerve degeneration and muscle atrophy."
377,research,what research (or clinical trials) is being done for Antiphospholipid Syndrome ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) support research on APS through grants to major medical institutions across the country.NINDS-funded research is looking at ways to reduce clotting and prevent stroke. Among other NIH-funded research efforts, scientists are examining the role of antiphospholipid antibodies in clotting and pregnancy loss, which is commonly seen in individuals with lupus. Another project hopes to identify potential inherited risk factors for the development of APS."
507,research,what research (or clinical trials) is being done for Herpes Zoster Oticus ?,The NINDS supports research on shingles and shingles-related conditions. Current studies focus on the relationship between the persistence of neurotropic viruses and development of neurological diseases including herpes simplex and varicella-zoster viruses.
531,research,what research (or clinical trials) is being done for Klippel Feil Syndrome ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge abuot the brain and nervous system, and to use that knowledge to reduce the burden of neurological disease. Research supported by the NINDS includes studies to understand how the brain and nervous system normally develop and function and how they are affected by disease and trauma. These studies contribute to a greater understanding of birth defects such as Klippel-Feil Syndrome and open promising new avenues for treatment."
604,research,what research (or clinical trials) is being done for Occipital Neuralgia ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes at the National Institutes of Health conduct research related to pain and occipital neuralgia in their clinics and laboratories and support additional research through grants to major medical institutions across the country. Much of this research focuses on understanding the basic mechanisms of pain and testing treatments in order to find better ways to treat occipital neuralgia.
652,research,what research (or clinical trials) is being done for Rasmussen's Encephalitis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to Rasmussens encephalitis in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major research institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure progressive neurological disorders, such as Rasmussens encephalitis."
385,research,what research (or clinical trials) is being done for Ataxia ?,"The NINDS supports and conducts a broad range of basic and clinical research on cerebellar and spinocerebellar degeneration, including work aimed at finding the cause(s) of ataxias and ways to treat, cure, and, ultimately, prevent them. Scientists are optimistic that understanding the genetics of these disorders may lead to breakthroughs in treatment."
574,research,what research (or clinical trials) is being done for Multiple Sclerosis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Scientists continue their extensive efforts to create new and better therapies for MS. One of the most promising MS research areas involves naturally occurring antiviral proteins known as interferons. Beta interferon has been shown to reduce the number of exacerbations and may slow the progression of physical disability. When attacks do occur, they tend to be shorter and less severe. In addition, there are a number of treatments under investigation that may curtail attacks or improve function. Over a dozen clinical trials testing potential therapies are underway, and additional new treatments are being devised and tested in animal models.
                
In 2001, the National Academies/Institute of Medicine, a Federal technical and scientific advisory agency, prepared a strategic review of MS research. To read or download the National Academies/Institute of Medicine report, go to: ""Multiple Sclerosis: Current Status and Strategies for the Future."""
464,research,what research (or clinical trials) is being done for Dysautonomia ?,"The NINDS supports and conducts research on dysautonomia. This research aims to discover ways to diagnose, treat, and, ultimately, prevent these disorders."
479,research,what research (or clinical trials) is being done for Fabry Disease ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system and to use that knowledge to reduce the burden of neurological disease.The NINDS supports research to find ways to treat and prevent lipid storage diseases such as Fabry disease. Researchers hope to identify biomarkers -- signs that may indicate risk of a disease and improve diagnosis -- for Fabry disease and other lipid storage diseases that will speed the development of novel therapeutics for these disorders. One NINDS-funded project is evaluating a rat model of Fabry disease, through which researchers hope to develop new proteins to increase the potency of enzyme replacement therapy."
445,research,what research (or clinical trials) is being done for Colpocephaly ?,"The National Institute of Neurological Disorders and Stroke (NINDS), and other institutes of the National Institutes of Health (NIH), conduct research related to colpocephaly and other cephalic disorders in laboratories at the NIH, and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding ways to prevent brain abnormalities such as colpocephaly."
411,research,what research (or clinical trials) is being done for Cerebellar Hypoplasia ?,"The National Institute of Neurological Disorders and Stroke (NINDS) supports research related to cerebellar hypoplasia and its associated disorders through grants to major research institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders that feature cerebellar hypoplasia."
360,research,what research (or clinical trials) is being done for Adult Central Nervous System Tumors ?,"New types of treatment are being tested in clinical trials.
                    This summary section refers to new treatments being studied in clinical trials, but it may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Proton beam radiation therapy     Proton beam radiation therapy is a type of high-energy, external radiation therapy that uses streams of protons (small, positively-charged pieces of matter) to make radiation. This type of radiation kills tumor cells with little damage to nearby tissues. It is used to treat cancers of the head, neck, and spine and organs such as the brain, eye, lung, and prostate. Proton beam radiation is different from x-ray radiation.        Biologic therapy     Biologic therapy is a treatment that uses the patients immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the bodys natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy.    Biologic therapy is being studied for the treatment of some types of brain tumors. Treatments may include the following:            -  Dendritic cell vaccine therapy.     -  Gene therapy.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
